epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
82,349.096,1.51594,2.04215,1.02011,1.30668,0,0.70644,0.73684,0.79573,0.33451,0.73537,0.7193,0.78184,0.29217,1.86209,2.75166,1.07356,1.78138,0,0.0003962,0.0003962,0.0003962
83,353.274,1.53241,2.09873,1.00688,1.27772,0,0.6315,0.70175,0.72227,0.29088,0.72169,0.64912,0.73091,0.2736,1.98038,2.73533,1.10353,1.88265,0,0.0003764,0.0003764,0.0003764
84,357.362,1.5688,2.04734,0.94376,1.28514,0,0.74193,0.75439,0.81234,0.33589,0.74193,0.75439,0.82705,0.31516,1.96759,2.72276,1.08208,1.89326,0,0.0003566,0.0003566,0.0003566
85,361.475,1.45973,2.03608,0.94363,1.2778,0,0.74913,0.78586,0.83247,0.34748,0.74562,0.7193,0.78695,0.31459,1.96951,2.71333,1.05,1.89753,0,0.0003368,0.0003368,0.0003368
86,366.492,1.46269,2.10751,0.93064,1.29524,0,0.75896,0.77337,0.83787,0.37163,0.73583,0.7193,0.80409,0.31456,1.88633,2.75823,1.00437,1.82763,0,0.000317,0.000317,0.000317
87,371.436,1.59776,2.10833,0.94371,1.28373,0,0.70753,0.89131,0.82741,0.37404,0.78599,0.78947,0.81903,0.32817,1.8917,2.68425,1.00256,1.79874,0,0.0002972,0.0002972,0.0002972
88,376.248,1.45945,2.02358,0.92401,1.27095,0,0.79133,0.80702,0.85625,0.37202,0.75741,0.77193,0.82189,0.31325,1.9251,2.69822,0.99373,1.81463,0,0.0002774,0.0002774,0.0002774
89,380.43,1.51163,2.09378,0.94057,1.30945,0,0.76962,0.75439,0.82414,0.34007,0.76353,0.73641,0.7932,0.2922,2.01482,2.84408,1.09685,1.89025,0,0.0002576,0.0002576,0.0002576
90,384.687,1.45901,2.05592,0.91722,1.26452,0,0.73804,0.73684,0.79264,0.3308,0.6719,0.68264,0.73022,0.28018,1.98835,2.81773,1.0657,1.86491,0,0.0002378,0.0002378,0.0002378
91,389.164,1.55138,2.09257,0.98005,1.46964,0,0.83641,0.71764,0.82433,0.33161,0.8345,0.70777,0.8222,0.31038,1.98095,2.71909,1.04533,1.87072,0,0.000218,0.000218,0.000218
92,393.251,1.4084,1.94758,0.94998,1.40564,0,0.78542,0.78947,0.83578,0.35381,0.74911,0.73341,0.80795,0.30509,1.98007,2.78735,1.07644,1.87694,0,0.0001982,0.0001982,0.0001982
93,397.343,1.34987,1.94009,0.93726,1.37585,0,0.76181,0.77193,0.81389,0.34379,0.73356,0.72459,0.79207,0.29088,1.98506,2.79584,1.09018,1.87451,0,0.0001784,0.0001784,0.0001784
94,401.524,1.37988,1.94197,0.89062,1.38147,0,0.78995,0.72585,0.80312,0.33501,0.80817,0.73917,0.83385,0.30786,1.95649,2.75613,1.08251,1.88798,0,0.0001586,0.0001586,0.0001586
95,405.69,1.37695,1.98598,0.91232,1.38056,0,0.80697,0.73348,0.81699,0.35364,0.84283,0.75265,0.84298,0.32028,1.90914,2.76342,1.03254,1.85567,0,0.0001388,0.0001388,0.0001388
96,409.822,1.31665,1.94422,0.86004,1.33369,0,0.81552,0.7756,0.83132,0.35702,0.79707,0.75806,0.81413,0.32635,1.9095,2.78097,1.0214,1.8438,0,0.000119,0.000119,0.000119
97,413.939,1.42531,2.00637,0.88561,1.37913,0,0.79855,0.76505,0.83068,0.36277,0.81686,0.7826,0.86383,0.32027,1.92845,2.79105,1.01371,1.85815,0,9.92e-05,9.92e-05,9.92e-05
98,418.054,1.33923,1.88834,0.84597,1.31048,0,0.78872,0.78598,0.81943,0.34775,0.79228,0.78947,0.838,0.31539,1.95065,2.8038,1.04472,1.87759,0,7.94e-05,7.94e-05,7.94e-05
99,422.151,1.30325,1.85919,0.8309,1.29362,0,0.78893,0.78693,0.82098,0.36143,0.7848,0.77193,0.83059,0.3195,1.93005,2.78978,1.0436,1.86131,0,5.96e-05,5.96e-05,5.96e-05
100,426.363,1.32015,1.97157,0.82994,1.28186,0,0.774,0.78116,0.819,0.36496,0.81132,0.78947,0.84027,0.33073,1.91159,2.78895,1.01618,1.85461,0,3.98e-05,3.98e-05,3.98e-05
